Image,Region,L,a,b,RGB_R,RGB_G,RGB_B,HEX,Description
29.jpg,lips,123.21,160.06,148.52,172,91,82,#ac5b52,밝은 빨강
29.jpg,cheeks,169.62,139.49,142.87,190,154,137,#be9a89,밝은 무채색
29.jpg,eyeshadow,153.18,140.45,144.80,175,136,117,#af8875,밝은 중성
3.jpg,lips,156.13,165.52,156.67,220,120,100,#dc7864,밝은 빨강+노랑
3.jpg,cheeks,195.50,140.68,144.46,221,180,160,#ddb4a0,매우 밝은 중성
3.jpg,eyeshadow,158.57,143.75,145.63,186,139,120,#ba8b78,밝은 중성
30.jpg,lips,140.09,158.29,146.47,188,110,102,#bc6e66,밝은 빨강
30.jpg,cheeks,202.56,137.08,137.58,220,190,180,#dcbeb4,매우 밝은 무채색
30.jpg,eyeshadow,159.62,141.35,138.51,180,142,134,#b48e86,밝은 무채색
31.jpg,lips,138.12,158.22,142.97,184,108,107,#b86c6b,밝은 빨강
31.jpg,cheeks,159.48,145.28,147.48,191,139,118,#bf8b76,밝은 중성
31.jpg,eyeshadow,107.27,141.86,141.74,127,91,78,#7f5b4e,중간 무채색
32.jpg,lips,100.55,172.19,153.24,162,56,54,#a23836,중간 빨강
32.jpg,cheeks,183.75,143.44,144.95,213,165,147,#d5a593,매우 밝은 중성
32.jpg,eyeshadow,170.59,144.13,145.03,201,151,132,#c99784,밝은 중성
33.jpg,lips,129.00,154.93,139.72,167,103,103,#a76767,밝은 중성
33.jpg,cheeks,188.60,140.72,138.65,210,173,163,#d2ada3,매우 밝은 무채색
33.jpg,eyeshadow,165.78,139.67,136.59,182,150,143,#b6968f,밝은 무채색
34.jpg,lips,174.40,154.81,147.12,221,148,133,#dd9485,밝은 중성
34.jpg,cheeks,183.62,144.91,145.55,215,165,146,#d7a592,매우 밝은 중성
34.jpg,eyeshadow,174.42,142.94,146.27,202,157,135,#ca9d87,밝은 중성
35.jpg,lips,132.17,161.35,147.37,183,100,93,#b7645d,밝은 빨강
35.jpg,cheeks,185.13,140.73,143.32,210,170,151,#d2aa97,매우 밝은 중성
35.jpg,eyeshadow,172.34,140.39,142.34,195,156,140,#c39c8c,밝은 무채색
36.jpg,lips,113.01,160.27,150.91,162,82,70,#a25246,중간 빨강
36.jpg,cheeks,151.78,144.40,149.96,181,131,106,#b5836a,밝은 중성
36.jpg,eyeshadow,142.32,142.77,148.80,168,124,99,#a87c63,밝은 중성
37.jpg,lips,140.64,157.66,140.45,184,111,112,#b86f70,밝은 빨강
37.jpg,cheeks,183.76,141.03,136.96,205,167,162,#cda7a2,매우 밝은 무채색
37.jpg,eyeshadow,171.38,142.49,138.51,195,154,146,#c39a92,밝은 무채색
38.jpg,lips,126.29,163.13,143.50,178,92,94,#b25c5e,밝은 빨강
38.jpg,cheeks,191.96,141.36,140.03,216,175,163,#d8afa3,매우 밝은 무채색
38.jpg,eyeshadow,154.25,143.81,141.72,179,136,123,#b3887b,밝은 중성
39.jpg,lips,130.52,159.80,146.21,178,99,92,#b2635c,밝은 빨강
39.jpg,cheeks,192.99,143.06,144.36,223,175,157,#dfaf9d,매우 밝은 중성
39.jpg,eyeshadow,155.57,141.94,141.05,177,138,124,#b18a7c,밝은 무채색
4.jpg,lips,125.71,171.78,152.04,190,83,78,#be534e,밝은 빨강
4.jpg,cheeks,185.38,147.23,145.61,222,165,148,#dea594,매우 밝은 중성
4.jpg,eyeshadow,155.51,147.42,145.85,188,134,118,#bc8676,밝은 중성
40.jpg,lips,128.78,169.14,130.68,183,89,117,#b75975,밝은 빨강
40.jpg,cheeks,193.58,139.39,139.41,215,179,167,#d7b3a7,매우 밝은 무채색
40.jpg,eyeshadow,186.42,138.55,140.03,206,172,158,#ceac9e,매우 밝은 무채색
41.jpg,lips,125.34,167.23,147.26,183,87,86,#b75756,밝은 빨강
41.jpg,cheeks,196.86,137.09,142.03,216,183,164,#d8b7a4,매우 밝은 무채색
41.jpg,eyeshadow,174.96,137.19,141.63,191,160,143,#bfa08f,밝은 무채색
42.jpg,lips,114.82,160.46,143.21,161,83,82,#a15352,중간 빨강
42.jpg,cheeks,172.37,144.21,140.96,200,153,143,#c8998f,밝은 중성
42.jpg,eyeshadow,138.41,142.27,141.85,161,120,108,#a1786c,밝은 무채색
43.jpg,lips,114.20,154.75,146.55,154,88,77,#9a584d,중간 중성
43.jpg,cheeks,163.51,141.00,140.84,185,146,134,#b99286,밝은 무채색
43.jpg,eyeshadow,125.76,143.58,142.09,149,107,93,#956b5d,밝은 중성
44.png,lips,208.55,146.33,131.40,238,191,198,#eebfc6,매우 밝은 중성
44.png,cheeks,225.69,132.81,133.16,233,219,212,#e9dbd4,매우 밝은 무채색
44.png,eyeshadow,207.42,135.95,133.72,219,197,193,#dbc5c1,매우 밝은 무채색
45.png,lips,139.21,160.63,123.66,179,109,140,#b36d8c,밝은 빨강
45.png,cheeks,194.89,134.33,126.76,197,184,191,#c5b8bf,매우 밝은 무채색
45.png,eyeshadow,143.40,136.89,125.58,146,130,140,#92828c,밝은 무채색
46.png,lips,118.18,161.04,144.62,167,86,84,#a75654,중간 빨강
46.png,cheeks,159.94,145.09,145.56,190,139,121,#be8b79,밝은 중성
46.png,eyeshadow,153.85,144.15,145.37,182,134,116,#b68674,밝은 중성
47.png,lips,105.03,164.71,143.85,156,70,74,#9c464a,중간 빨강
47.png,cheeks,164.56,143.42,139.46,189,146,137,#bd9289,밝은 중성
47.png,eyeshadow,140.44,142.13,140.52,162,122,111,#a27a6f,밝은 무채색
48.png,lips,104.03,155.30,148.35,145,77,65,#914d41,중간 빨강
48.png,cheeks,177.27,141.68,143.54,202,160,143,#caa08f,밝은 중성
48.png,eyeshadow,151.77,143.09,144.88,178,132,115,#b28473,밝은 중성
49.png,lips,119.47,161.42,140.30,166,87,92,#a6575c,중간 빨강
49.png,cheeks,174.63,141.20,137.72,196,158,151,#c49e97,밝은 무채색
49.png,eyeshadow,158.78,142.88,139.40,181,140,131,#b58c83,밝은 무채색
5.jpg,lips,103.35,153.11,143.12,140,78,72,#8c4e48,중간 중성
5.jpg,cheeks,158.02,138.12,137.05,173,143,134,#ad8f86,밝은 무채색
5.jpg,eyeshadow,141.36,138.74,137.83,155,126,117,#9b7e75,밝은 무채색
50.png,lips,145.79,156.39,148.49,192,117,103,#c07567,밝은 빨강
50.png,cheeks,186.05,141.57,145.41,214,170,149,#d6aa95,매우 밝은 중성
50.png,eyeshadow,150.63,145.08,146.87,180,130,111,#b4826f,밝은 중성
51.png,lips,118.32,151.18,142.77,153,94,87,#995e57,중간 중성
51.png,cheeks,191.78,135.97,144.20,208,179,155,#d0b39b,매우 밝은 중성
51.png,eyeshadow,155.80,135.95,144.07,169,142,119,#a98e77,밝은 중성
52.png,lips,99.50,154.57,140.81,135,74,73,#874a49,중간 중성
52.png,cheeks,154.57,139.81,139.69,172,138,127,#ac8a7f,밝은 무채색
