brand,product_name,category,shade_name,price,finish,image_url,swatch_url,color_hex,lab_L,lab_a,lab_b
삐아,레디 투 웨어 다우니 치크,cheek,01 다우니핑크,"9,000원",크림,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/9/8646179113872723418.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/9/8646179113872723418.jpg,#ee9394,70.38,34.44,13.98
삐아,레디 투 웨어 다우니 치크,cheek,02 다우니피치,"9,000원",크림,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/9/4406711892580164469.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/9/4406711892580164469.jpg,#e2887e,66.06,32.99,20.04
삐아,레디 투 웨어 다우니 치크,cheek,03 다우니애프리콧,"9,000원",크림,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/9/2797243107644364525.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/9/2797243107644364525.jpg,#eba989,74.68,20.66,26.07
삐아,레디 투 웨어 다우니 치크,cheek,04 다우니라벤더,"9,000원",크림,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/9/8981504908162656381.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/9/8981504908162656381.jpg,#d28dc9,67.25,35.58,-20.16
삐아,레디 투 웨어 다우니 치크,cheek,06 다우니피그,"9,000원",크림,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/9/9037752405952835344.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/9/9037752405952835344.jpg,#d48d84,65.55,25.83,15.71
삐아,레디 투 웨어 다우니 치크,cheek,07 다우니엔젤,"9,000원",크림,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/9/3978245376195816719.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/9/3978245376195816719.jpg,#fbeaef,94.06,6.76,-0.33
삐아,레디 투 웨어 다우니 치크,cheek,08 다우니로지,"9,000원",크림,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/9/7768319708264698122.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/9/7768319708264698122.jpg,#e6838d,65.79,39.15,11.28
삐아,레디 투 웨어 다우니 치크,cheek,12 다우니블룸,"9,000원",크림,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/2/4126401589500490864.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/2/4126401589500490864.jpg,#e57e99,64.82,42.99,3.12
삐아,레디 투 웨어 다우니 치크,cheek,05 다우니코랄,"9,000원",크림,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/9/7976777026278388420.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/9/7976777026278388420.jpg,#e17f6e,63.47,36.05,25.75
삐아,레디 투 웨어 다우니 치크,cheek,09 다우니타로,"9,000원",크림,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/9/6022601449462804780.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2024/9/6022601449462804780.jpg,#d4929b,67.23,25.99,5.41
