Image,Region,L,a,b,RGB_R,RGB_G,RGB_B,HEX,Description
22.jpg,lips,145.11,161.62,143.79,197,113,112,#c57170,밝은 빨강
22.jpg,cheeks,201.09,136.15,139.10,218,189,175,#dabdaf,매우 밝은 무채색
22.jpg,eyeshadow,165.49,137.76,140.10,181,151,136,#b59788,밝은 무채색
23.jpg,lips,118.58,162.07,139.86,166,85,93,#a6555d,중간 빨강
23.jpg,cheeks,169.09,144.45,139.79,196,150,142,#c4968e,밝은 중성
23.jpg,eyeshadow,113.30,140.08,138.21,130,97,89,#826159,중간 무채색
24.jpg,lips,131.84,159.49,136.87,175,101,110,#af656e,밝은 빨강
24.jpg,cheeks,197.38,135.54,135.31,209,186,178,#d1bab2,매우 밝은 무채색
24.jpg,eyeshadow,147.37,138.53,132.61,159,132,132,#9f8484,밝은 무채색
25.jpg,lips,143.37,159.58,145.37,192,112,106,#c0706a,밝은 빨강
25.jpg,cheeks,195.42,138.80,143.13,217,181,162,#d9b5a2,매우 밝은 중성
25.jpg,eyeshadow,147.12,141.65,143.02,170,130,113,#aa8271,밝은 중성
26.jpg,lips,111.44,177.76,153.56,181,60,64,#b53c40,중간 빨강
26.jpg,cheeks,194.50,139.03,139.67,216,180,168,#d8b4a8,매우 밝은 무채색
26.jpg,eyeshadow,149.83,142.48,141.76,172,131,118,#ac8376,밝은 무채색
27.jpg,lips,115.26,167.13,146.37,172,77,79,#ac4d4f,중간 빨강
27.jpg,cheeks,163.61,137.58,138.46,178,149,138,#b2958a,밝은 무채색
27.jpg,eyeshadow,122.52,137.93,140.48,136,108,94,#886c5e,밝은 무채색
28.jpg,lips,151.26,172.91,144.20,219,109,117,#db6d75,밝은 빨강
28.jpg,cheeks,184.05,141.25,132.11,204,169,170,#cca9aa,매우 밝은 무채색
28.jpg,eyeshadow,151.60,142.62,130.32,168,134,139,#a8868b,밝은 무채색
29.jpg,lips,111.95,172.13,142.07,172,68,82,#ac4452,중간 빨강
29.jpg,cheeks,192.31,138.36,130.10,206,179,182,#ceb3b6,매우 밝은 무채색
29.jpg,eyeshadow,155.18,140.89,134.80,172,139,137,#ac8b89,밝은 무채색
30.jpg,lips,138.38,159.63,144.00,186,107,105,#ba6b69,밝은 빨강
30.jpg,cheeks,198.93,141.29,138.51,223,183,174,#dfb7ae,매우 밝은 무채색
