brand,product_name,category,shade_name,price,finish,image_url,swatch_url,lab_L,lab_a,lab_b
데이지크,블루밍 싱글 섀도우,eye,01 코랄 밀크,"7,900원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/2/19803824827969887.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/2/19803824827969887.jpg,221.84,138.93,135.65
데이지크,블루밍 싱글 섀도우,eye,03 체리 블라썸,"7,900원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/2/3255682880956959531.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/2/3255682880956959531.jpg,213.0,143.5,136.87
데이지크,블루밍 싱글 섀도우,eye,04 스프링 피크닉,"7,900원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/2/4218836853492313821.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/2/4218836853492313821.jpg,206.85,142.0,137.98
데이지크,블루밍 싱글 섀도우,eye,05 피치 컨페티,"7,900원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/2/2888997035899611692.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/2/2888997035899611692.jpg,206.49,141.72,142.62
데이지크,블루밍 싱글 섀도우,eye,06 페탈 스프링클,"7,900원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/2/793086307961730094.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/2/793086307961730094.jpg,217.65,137.3,137.96
데이지크,블루밍 싱글 섀도우,eye,07 미스틱 블라썸,"7,900원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/2/6342334527570039471.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/2/6342334527570039471.jpg,212.53,138.78,131.52
데이지크,블루밍 싱글 섀도우,eye,08 블루밍 캔디,"7,900원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/2/4695781413225469811.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/2/4695781413225469811.jpg,219.31,140.86,130.35
데이지크,블루밍 싱글 섀도우,eye,09 플라워 소다,"7,900원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/2/9037978520610578155.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/2/9037978520610578155.jpg,206.52,146.63,131.52
데이지크,블루밍 싱글 섀도우,eye,10 베리 토프,"7,900원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/2/4818820387816564256.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2025/2/4818820387816564256.jpg,201.51,138.34,134.58
삐아,레디 투 웨어 아이섀도우,eye,06 모태청순,"4,500원",매트,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2022/5/865689817905143996.jpg,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/options/item/2022/5/865689817905143996.jpg,214.16,141.22,141.57
